"representante","situacao_rep","cod_rep","modelo_venda"
Representante 517,A,"27563",Canal
Representante 518,A,"27565",Canal
Representante 519,A,"1530",Direto
Representante 520,A,"27822",Canal
Representante 521,A,"27849",Canal
Representante 522,A,"27987",Canal
Representante 523,A,"28040",Canal
Representante 524,A,"2919",Parceiros
Representante 525,A,"3295",Parceiros
Representante 526,A,"4193",Parceiros
Representante 527,A,"5900",Parceiros
Representante 528,A,"7102",Parceiros
Representante 529,A,"11378",Parceiros
Representante 530,A,"13162",Parceiros
Representante 531,A,"25431",Parceiros
Representante 532,A,"728283",Canal
Representante 533,A,"728287",Canal
Representante 534,A,"28604",Canal
Representante 535,A,"728289",Canal
Representante 536,A,"27092",Parceiros
Representante 537,A,"27630",Canal
Representante 538,A,"27661",Canal
Representante 539,A,"27740",Canal
Representante 540,A,"5110",Direto
Representante 541,A,"28561",Canal
Representante 542,A,"28562",Canal
Representante 543,A,"5113",Direto
Representante 544,A,"28745",Parceiros
Representante 545,A,"28945",Canal
Representante 546,I,"29300",Canal
Representante 547,A,"29301",Canal
Representante 548,A,"29471",Canal
Representante 549,A,"29492",Canal
Representante 550,A,"29582",Canal
Representante 551,A,"728300",Canal
Representante 552,A,"29678",Canal
Representante 553,A,"29686",Canal
Representante 554,A,"29687",Canal
Representante 555,A,"29688",Canal
Representante 556,A,"29905",Canal
Representante 557,A,"728302",Parceiros
Representante 558,A,"27258",Canal
Representante 559,A,"728278",Canal
Representante 560,A,"29082",Canal
Representante 561,A,"728284",Canal
Representante 562,A,"728285",Canal
Representante 563,A,"29083",Canal
Representante 564,A,"29136",Canal
Representante 565,A,"29435",Canal
Representante 566,A,"29470",Canal
Representante 567,A,"29714",Canal
Representante 568,A,"29838",Canal
Representante 569,A,"29841",Canal
Representante 570,A,"29843",Canal
Representante 571,A,"29845",Canal
Representante 572,A,"29846",Canal
Representante 573,A,"29847",Canal
Representante 574,A,"29848",Canal
Representante 575,A,"29849",Canal
Representante 576,A,"29850",Canal
Representante 577,A,"29851",Canal
Representante 578,A,"728303",Parceiros
Representante 579,A,"728304",Parceiros
